年级,学期,学科,课程号,标题,关键词
初二,上,数学,1,19.1 平方根与立方根,平方根与立方根
初二,上,数学,2,19.2 实数,实数
初二,上,数学,3,20.1 二次根式及其性质,二次根式及其性质
初二,上,数学,4,20.2 二次根式的运算,二次根式的运算
初二,上,数学,5,21.1 一元二次方程的概念,一元二次方程的概念
初二,上,数学,6,21.2 一元二次方程的解法,一元二次方程的解法
初二,上,数学,7,21.3 一元二次方程的判别式,一元二次方程的判别式
初二,上,数学,8,21.4 一元二次方程的根与系数的关系,一元二次方程的根与系数的关系
初二,上,数学,9,21.5 一元二次方程的应用,一元二次方程的应用
初二,上,数学,10,22.1 直角三角形,直角三角形
初二,上,数学,11,22.2 角平分线,角平分线
初二,上,数学,12,22.3 勾股定理,勾股定理
