年级,学期,学科,课程号,标题,关键词
初一,下,数学,1,15.1 不等式及其性质,不等式及其性质
初一,下,数学,2,15.2 一元一次不等式,一元一次不等式
初一,下,数学,3,15.3 一元一次不等式组,一元一次不等式组
初一,下,数学,4,16.1 相交线,相交线
初一,下,数学,5,16.2 平行线,平行线
初一,下,数学,6,16.3 命题与证明,命题与证明
初一,下,数学,7,17.1 三角形的有关概念,三角形的有关概念
初一,下,数学,8,17.2 三角形的内角和,三角形的内角和
初一,下,数学,9,17.3 全等三角形及其性质,全等三角形及其性质
初一,下,数学,10,17.4 三角形全等的判定,三角形全等的判定
初一,下,数学,11,18.1 等腰三角形的性质,等腰三角形的性质
初一,下,数学,12,18.2 等腰三角形的判定,等腰三角形的判定
初一,下,数学,13,18.3 等边三角形,等边三角形
初一,下,数学,14,18.4 线段的垂直平分线,线段的垂直平分线
