年级,学期,学科,课程号,标题,关键词
初一,上,数学,1,10.1 整式,整式
初一,上,数学,2,10.2 合并同类项,合并同类项
初一,上,数学,3,10.3 整式的加法和减法,整式的加法和减法
初一,上,数学,4,11.1 整式的乘法,整式的乘法
初一,上,数学,5,11.2 乘法公式,乘法公式
初一,上,数学,6,11.3 整式的除法,整式的除法
初一,上,数学,7,12.1 因式分解的意义,因式分解的意义
初一,上,数学,8,12.2 因式分解的方法,因式分解的方法
初一,上,数学,9,13.1 分式及其性质,分式及其性质
初一,上,数学,10,13.2 分式的运算,分式的运算
初一,上,数学,11,13.3 分式方程,分式方程
初一,上,数学,12,14.1 平移,平移
初一,上,数学,13,14.2 旋转,旋转
初一,上,数学,14,14.3 轴对称,轴对称
初一,上,数学,15,14.4 中心对称,中心对称
